Designator,Mid X,Mid Y,Layer,Rotation
-0.4V, 9.91,15.62,Top,0.0
-3.3V, 7.87,13.34,Top,0.0
1.2VREF,12.19,13.72,Top,0.0
1.8V,53.34,25.40,Top,0.0
1.8V_SW,55.63,23.11,Top,0.0
3.3V,53.34,26.67,Top,0.0
3.3V_SW,53.59,29.46,Top,0.0
ADC1,38.27,30.99,Top,0.0
ADC2,39.23,30.99,Top,0.0
C1,64.39,28.32,Top,180.0
C2,55.12, 4.32,Top,270.0
C3,33.53,29.97,Top,90.0
C4,32.51,30.23,Top,270.0
C5,61.47,33.15,Top,90.0
C7,40.89, 5.33,Top,270.0
C8,42.55, 5.33,Top,270.0
C9,64.77,17.02,Top,0.0
C10,20.70,20.83,Top,270.0
C11,49.53,16.89,Top,270.0
C12,50.55,16.89,Top,270.0
C13,51.56,18.03,Top,90.0
C14,64.77,15.49,Top,0.0
C15,57.40,21.34,Top,270.0
C16,58.42,23.28,Top,270.0
C17,59.18,11.68,Top,90.0
C18,62.61,22.99,Top,90.0
C19,15.75,20.83,Top,270.0
C20,67.44,35.43,Top,270.0
C21,66.42,35.43,Top,270.0
C22,69.72,35.81,Top,90.0
C23,68.45,35.43,Top,90.0
C24,66.55,25.91,Top,0.0
C25,60.20,26.92,Top,0.0
C26,14.99,13.84,Top,180.0
C27, 9.14,18.92,Top,270.0
C28,10.16,19.05,Top,270.0
C29,13.46,18.80,Top,270.0
C30,18.03,22.99,Top,270.0
C31,14.48,19.05,Top,270.0
C32,11.18,25.27,Top,270.0
C33,10.16,25.02,Top,270.0
C35,27.69, 9.65,Top,180.0
C36,27.81, 7.87,Top,180.0
C37,59.44,23.11,Top,270.0
C38,13.46,25.40,Top,270.0
C39,14.48,25.15,Top,270.0
C40,38.61,29.85,Top,0.0
C41,40.51,29.34,Top,0.0
C42,25.65,41.15,Top,90.0
C43,48.01,14.35,Top,90.0
D2,27.94,33.40,Top,180.0
IC1,60.05,16.38,Top,0.0
IC2,13.46,27.05,Top,0.0
IC3,10.16,27.05,Top,0.0
IC4, 9.65,20.96,Top,0.0
IC5,13.84,20.83,Top,0.0
J1,59.69,43.18,Top,180.0
J2,34.22, 4.32,Top,0.0
J5,59.18, 5.97,Top,0.0
L1,41.78, 7.11,Top,0.0
L2,54.26,19.56,Top,90.0
L3,53.98,16.13,Top,180.0
LED1,65.02,21.84,Top,0.0
MK1,24.26,43.82,Top,270.0
MP1,21.46,11.13,Top,0.0
MP2,53.21,11.13,Top,0.0
MP3,53.21,36.53,Top,0.0
MP4,21.46,36.53,Top,0.0
R1,30.73,33.40,Top,180.0
R2,64.77,12.32,Top,180.0
R3,64.77,13.46,Top,180.0
R4,64.77,14.48,Top,180.0
R5,50.29,18.54,Top,0.0
R6,50.29,15.37,Top,0.0
R7, 6.35,13.97,Top,90.0
R8, 5.33,13.97,Top,270.0
R9,11.94,11.81,Top,270.0
R10,63.88, 3.81,Top,0.0
R11,63.88, 4.83,Top,0.0
R12,40.13, 1.91,Top,180.0
R13,40.13, 2.92,Top,0.0
R14,27.69,10.67,Top,0.0
R15,10.67,11.81,Top,90.0
R16,10.54,28.45,Top,180.0
R17, 9.91,22.35,Top,0.0
R18,12.83,28.70,Top,90.0
R19,13.84,28.70,Top,270.0
R20,14.86,22.86,Top,90.0
R21,13.85,22.86,Top,270.0
R22,38.35,28.45,Top,90.0
R23,40.26,27.81,Top,90.0
R24,55.12,25.65,Top,0.0
R25,55.12,26.67,Top,0.0
R26,42.55,27.30,Top,0.0
S1,69.72,15.62,Top,0.0
S2,52.07,42.04,Top,180.0
U1,60.96,35.56,Top,270.0
U2,10.31,13.97,Top,0.0
U3,37.34,39.18,Top,0.0
U4,68.58,31.12,Top,90.0
U5,69.85,25.40,Top,0.0
U6,60.96,29.08,Top,0.0
U7,23.71, 5.24,Top,180.0
U10,18.03,19.81,Top,270.0
VSYS,66.04,16.13,Top,0.0
V_BATT,66.17,14.86,Top,0.0
V_USB,42.55, 8.64,Top,0.0
X1,45.05,18.97,Top,270.0
Y3,35.94,29.97,Top,180.0
