Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,22uF,C105226
"C10, C11, C12, C13, C2, C25, C3, C4, C5, C6",0402,10,0.1uF,C1525
"C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C26, C29, C31, C33",0402,15,1.0uF,C361059
"C27, C28",0402,2,2.2uF,C159814
"C30, C7, C8, C9",0402,4,10uF,C15525
C32,0402,1,470nF,C47339
CN1,FPC-SMD_30P-P0.50_FH12A-30S-0.5SH,1,~,C3036214
D1,0402,1,Red,C74341
D2,D_SOD-523,1,350mA,C154768
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
J4,JST_1x02_P2.0mm_Horizontal_SMD,1,JST_2mm_LiPo,C295747
L1,0402,1,2.2nH,C27122
L2,IND_LQH3NPN2R2MJRL,1,LQH3NPN2R2MJRL,C341775
"R1, R13, R14, R2",0402,4,10k,C25531
R10,0402,1,0,C17168
R11,0402,1,1.1K,C25860
R12,0402,1,590,C159007
R15,0402,1,0.01,C346478
"R3, R6",0402,2,100,C25076
"R4, R5",0402,2,5.1k,C25905
"SW1, SW2",Push_SMD_4.6x2.8mm_h1.9mm,2,SMD_4.6x2.8mm_h1.9mm,C99271
U1,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,C5736265
U3,Texas_DRC0010J_ThermalVias,1,TPS63001,C28060
"U4, U6",SON50P400X400X80-15N,2,LMP91000SDE_NOPB,C181364
U5,TSSOP-10_3x3mm_P0.5mm,1,ADS1114IDGS,C174291
U7,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,C15464
U8,Texas_S-PDSO-N12,1,BQ27441DRZR-G1A,C473397
