Designator,Mid X,Mid Y,Rotation,Layer
C1,15.95,37.67,90.0,top
C10,34.725,18.25,0.0,top
C11,2.05,28.85,90.0,top
C12,1.65,34.73,90.0,top
C13,13.05,30.05,180.0,top
C14,34.3,10.95,180.0,top
C15,34.3,9.0,180.0,top
C16,34.3,4.35,0.0,top
C17,29.47,13.325,180.0,top
C18,27.57,13.325,180.0,top
C19,25.7,13.325,180.0,top
C2,14.9,37.67,90.0,top
C20,23.8,13.325,180.0,top
C21,19.55,14.83,270.0,top
C22,20.55,14.85,270.0,top
C23,21.55,14.85,270.0,top
C24,18.045,14.35,0.0,top
C25,18.025,15.35,0.0,top
C26,22.6,14.9,270.0,top
C27,34.275,5.8,0.0,top
C28,34.3,10.0,180.0,top
C29,22.1,22.4,270.0,top
C3,16.125,32.58,270.0,top
C30,24.05,18.555,270.0,top
C31,18.6,18.595,270.0,top
C32,10.9,20.0,180.0,top
C33,13.35,17.65,180.0,top
C4,9.33,36.85,180.0,top
C5,39.38,15.55,180.0,top
C6,43.57,15.55,0.0,top
C7,30.275,22.45,90.0,top
C8,31.275,22.45,90.0,top
C9,30.825,15.85,0.0,top
CN1,22.9,9.3,0.0,top
D1,18.7,25.365,90.0,top
D2,23.9,15.15,270.0,top
J1,43.35,22.05,90.0,top
J4,6.95,14.5,90.0,top
JP1,10.4372,2.15,0.0,top
L1,41.465,15.55,0.0,top
L2,27.35,19.35,90.0,top
R1,15.15,32.59,270.0,top
R10,7.39,33.375,180.0,top
R11,23.95,20.635,270.0,top
R12,20.5,22.41,270.0,top
R13,19.475,22.385,270.0,top
R14,19.15,17.0,0.0,top
R15,18.2,20.5,90.0,top
R2,26.7,27.36,270.0,top
R3,18.7,27.39,90.0,top
R4,45.6,15.5,90.0,top
R5,41.45,28.24,90.0,top
R6,30.8,16.85,0.0,top
SW1,11.0,38.85,0.0,top
SW2,35.4,38.85,0.0,top
U1,23.5,34.802064,0.0,top
U3,31.775,19.37,0.0,top
U4,4.815,36.2,0.0,top
U5,11.45,32.4,270.0,top
U6,5.25,30.3,0.0,top
U7,21.2625,19.3,0.0,top
U8,14.35,20.6225,0.0,top
